ΔH_index,ΔS_index,Logic_Code,Interpretation
0,0,100,H⁺-only activation
1,0,100,H⁺-only activation
2,0,100,H⁺-only activation
3,0,100,H⁺-only activation
4,0,100,H⁺-only activation
5,0,100,H⁺-only activation
6,0,100,H⁺-only activation
7,0,100,H⁺-only activation
8,0,100,H⁺-only activation
9,0,100,H⁺-only activation
10,0,000,No BFIP activity
11,0,000,No BFIP activity
12,0,000,No BFIP activity
13,0,000,No BFIP activity
14,0,000,No BFIP activity
15,0,000,No BFIP activity
16,0,000,No BFIP activity
17,0,000,No BFIP activity
18,0,000,No BFIP activity
19,0,000,No BFIP activity
0,1,100,H⁺-only activation
1,1,100,H⁺-only activation
2,1,100,H⁺-only activation
3,1,100,H⁺-only activation
4,1,100,H⁺-only activation
5,1,100,H⁺-only activation
6,1,100,H⁺-only activation
7,1,100,H⁺-only activation
8,1,100,H⁺-only activation
9,1,100,H⁺-only activation
10,1,100,H⁺-only activation
11,1,000,No BFIP activity
12,1,000,No BFIP activity
13,1,000,No BFIP activity
14,1,000,No BFIP activity
15,1,000,No BFIP activity
16,1,000,No BFIP activity
17,1,000,No BFIP activity
18,1,000,No BFIP activity
19,1,000,No BFIP activity
0,2,100,H⁺-only activation
1,2,100,H⁺-only activation
2,2,100,H⁺-only activation
3,2,100,H⁺-only activation
4,2,100,H⁺-only activation
5,2,100,H⁺-only activation
6,2,100,H⁺-only activation
7,2,100,H⁺-only activation
8,2,100,H⁺-only activation
9,2,100,H⁺-only activation
10,2,100,H⁺-only activation
11,2,100,H⁺-only activation
12,2,000,No BFIP activity
13,2,000,No BFIP activity
14,2,000,No BFIP activity
15,2,000,No BFIP activity
16,2,000,No BFIP activity
17,2,000,No BFIP activity
18,2,000,No BFIP activity
19,2,000,No BFIP activity
0,3,100,H⁺-only activation
1,3,100,H⁺-only activation
2,3,100,H⁺-only activation
3,3,100,H⁺-only activation
4,3,100,H⁺-only activation
5,3,100,H⁺-only activation
6,3,100,H⁺-only activation
7,3,100,H⁺-only activation
8,3,100,H⁺-only activation
9,3,100,H⁺-only activation
10,3,100,H⁺-only activation
11,3,100,H⁺-only activation
12,3,100,H⁺-only activation
13,3,000,No BFIP activity
14,3,000,No BFIP activity
15,3,000,No BFIP activity
16,3,000,No BFIP activity
17,3,000,No BFIP activity
