000,001,010,011,100,101,110,111,θ_thresh,mi_thresh,total
0,0,0,4,0,0,1,295,0.01,0.01,300
0,0,0,4,0,0,1,295,0.01,0.06444444444444444,300
0,0,0,4,0,0,1,295,0.01,0.11888888888888888,300
0,0,0,4,0,0,1,295,0.01,0.17333333333333334,300
0,0,0,4,0,0,1,295,0.01,0.22777777777777777,300
0,0,0,4,0,0,1,295,0.01,0.2822222222222222,300
0,0,0,4,0,0,1,295,0.01,0.33666666666666667,300
0,0,0,4,0,0,1,295,0.01,0.3911111111111111,300
0,0,0,4,0,0,1,295,0.01,0.44555555555555554,300
0,0,0,4,0,0,1,295,0.01,0.5,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.01,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.06444444444444444,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.11888888888888888,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.17333333333333334,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.22777777777777777,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.2822222222222222,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.33666666666666667,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.3911111111111111,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.44555555555555554,300
0,0,1,15,0,13,11,260,0.042222222222222223,0.5,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.01,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.06444444444444444,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.11888888888888888,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.17333333333333334,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.22777777777777777,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.2822222222222222,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.33666666666666667,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.3911111111111111,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.44555555555555554,300
0,2,1,20,0,25,18,234,0.07444444444444444,0.5,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.01,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.06444444444444444,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.11888888888888888,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.17333333333333334,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.22777777777777777,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.2822222222222222,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.33666666666666667,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.3911111111111111,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.44555555555555554,300
2,5,4,24,1,33,21,210,0.10666666666666666,0.5,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.01,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.06444444444444444,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.11888888888888888,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.17333333333333334,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.22777777777777777,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.2822222222222222,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.33666666666666667,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.3911111111111111,300
