pH,L*,theta*,ΔG,MI_approx,bfip
6.0,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
6.13,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
6.26,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
6.39,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
6.53,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
6.66,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
6.79,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
6.92,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
7.05,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
7.18,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
7.32,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
7.45,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
7.58,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
7.71,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
7.84,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
7.97,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
8.11,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
8.24,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
8.37,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
8.5,0.01,0.9999000099990001,-4.5,0.0001442334444057852,False
