ion,conc_mM,pH,theta,MI,Delta_G,BFIP
hbs_cushion,0.01,6.8,0.09239130434782608,3.0036175898930864e+91,-6286.551630434783,True
hbs_cushion,0.01,7.1,0.09411764705882354,2.9983427050292592e+91,-6291.905882352941,True
hbs_cushion,0.01,7.4,0.09470752089136492,2.996540288746039e+91,-6293.7353760445685,True
hbs_cushion,0.12,6.8,0.5498652291105122,25.37046820501687,-7705.407008086253,True
hbs_cushion,0.12,7.1,0.5549132947976878,25.09613506196584,-7721.063583815028,True
hbs_cushion,0.12,7.4,0.5566166439290587,25.003480129002988,-7726.346521145975,True
hbs_cushion,0.23,6.8,0.7007168458781361,16.070987353561243,-8173.27329749104,True
hbs_cushion,0.23,7.1,0.7049808429118773,15.828401512949316,-8186.498084291188,True
hbs_cushion,0.23,7.4,0.7064137308039746,15.746805411173419,-8190.942186088527,True
hbs_cushion,0.34,6.8,0.7758389261744966,10.823413545286435,-8406.264429530202,True
hbs_cushion,0.34,7.1,0.7793696275071633,10.617318257180564,-8417.214899713466,True
hbs_cushion,0.34,7.4,0.7805536799459825,10.548143954637002,-8420.887238352465,True
hbs_cushion,0.45,6.8,0.8208154506437768,7.256119355473284,-8545.759120171673,True
hbs_cushion,0.45,7.1,0.8237986270022882,7.0791055634796365,-8555.011441647597,True
hbs_cushion,0.45,7.4,0.8247978436657682,7.019770259534561,-8558.11051212938,True
hbs_cushion,0.56,6.8,0.8507596067917783,4.548158636469903,-8638.6309204647,True
hbs_cushion,0.56,7.1,0.8533333333333334,4.393695213015823,-8646.613333333335,True
hbs_cushion,0.56,7.4,0.8541947061462539,4.341964983840439,-8649.284881112606,True
hbs_cushion,0.67,6.8,0.8721286370597243,2.3389346044691206,-8704.906967840736,True
hbs_cushion,0.67,7.1,0.8743882544861338,2.2021873393474913,-8711.915171288743,True
hbs_cushion,0.67,7.4,0.8751440645409143,2.1564198602316713,-8714.259316173646,True
hbs_cushion,0.78,6.8,0.8881446751507033,0.4449838530943128,-8754.580709979906,True
hbs_cushion,0.78,7.1,0.8901569186875892,0.32242824010945836,-8760.821683309558,True
hbs_cushion,0.78,7.4,0.8908296943231442,0.2814305784017375,-8762.908296943231,True
hbs_cushion,0.89,6.8,0.900595238095238,-1.236951377114928,-8793.196130952381,False
hbs_cushion,0.89,7.1,0.9024081115335868,-1.3479215128454012,-8798.81875792142,False
hbs_cushion,0.89,7.4,0.9030140256639809,-1.3850293296746903,-8800.698000596836,False
hbs_cushion,1.0,6.8,0.9105516871987145,-2.7694545239450585,-8824.076057846813,False
hbs_cushion,1.0,7.1,0.912200684150513,-2.8708055103904027,-8829.190421892816,False
hbs_cushion,1.0,7.4,0.912751677852349,-2.904686269288569,-8830.899328859061,False
Ca2+,0.0001,6.5,0.012160228898426323,3.282331423173743e+91,-3026.4004649499284,False
Ca2+,0.0001,8.0,0.012564671101256464,3.2810380737145715e+91,-3027.278529194383,False
Ca2+,0.01,6.5,0.5517689061992859,26.18886237574864,-4197.91788380396,True
Ca2+,0.01,8.0,0.5599472990777339,25.743978033682414,-4215.673583662714,True
