ion,conc_mM,pH,theta,MI,Delta_G,BFIP
Fe2+,0.01,6.5,0.04412528119051738,3.1522867981182725e+91,-4609.483647689912,False
Fe2+,0.01,7.0,0.046204022467838377,3.145831395761525e+91,-4614.6414205472,False
Fe2+,0.01,7.5,0.04671185198754351,3.14425514858198e+91,-4615.901447151493,False
Fe2+,0.01,8.0,0.045543847115556355,3.1478809534969526e+91,-4613.003393463118,False
Fe2+,0.12,6.5,0.3564771668219944,1.3431016162103598e+26,-5384.491146318733,True
Fe2+,0.12,7.0,0.36761172513214796,1.318981178083243e+26,-5412.118212397885,True
Fe2+,0.12,7.5,0.3702807357212004,1.313193407227779e+26,-5418.740561471443,True
Fe2+,0.12,8.0,0.3641123274631128,1.3265672245639225e+26,-5403.4355069014755,True
Fe2+,0.23,6.5,0.5149705856528229,26.334328143361745,-5777.745017121784,True
Fe2+,0.23,7.0,0.5270015275406595,25.68615010869287,-5807.596190133884,True
Fe2+,0.23,7.5,0.5298581624356311,25.531934591467085,-5814.6840726352875,True
Fe2+,0.23,8.0,0.5232402533678294,25.889019487271455,-5798.263716656258,True
Fe2+,0.34,6.5,0.6108214738621952,20.18713699983455,-6015.570240946879,True
Fe2+,0.34,7.0,0.6222190325821731,19.55610413696984,-6043.849863642888,True
Fe2+,0.34,7.5,0.6249099034164625,19.40680582109981,-6050.526452356927,True
Fe2+,0.34,8.0,0.6186670472384759,19.75299404621293,-6035.036677608106,True
Fe2+,0.45,6.5,0.6750397082181304,15.680635036432541,-6174.908524030825,True
Fe2+,0.45,7.0,0.6855248222713424,15.088489841492443,-6200.9241890196545,True
Fe2+,0.45,7.5,0.6879908867438096,14.948927818867475,-6207.04298818874,True
Fe2+,0.45,8.0,0.6822641060705155,15.272852647003731,-6192.833699982163,True
Fe2+,0.56,6.5,0.7210664512219753,12.144097741201541,-6289.110078771965,True
Fe2+,0.56,7.0,0.7306590257879657,11.59414742723101,-6312.9111747851,True
Fe2+,0.56,7.5,0.7329090535824266,11.464892202215134,-6318.493943748717,True
Fe2+,0.56,8.0,0.7276803913575215,11.765106217732113,-6305.520587036282,True
Fe2+,0.67,6.5,0.7556725197930028,9.22956580907018,-6374.974656110398,True
Fe2+,0.67,7.0,0.7644637343952749,8.719581470493136,-6396.787417781556,True
Fe2+,0.67,7.5,0.7665216025842343,8.599975067916072,-6401.893400332002,True
Fe2+,0.67,8.0,0.761737036871907,8.877927588844445,-6390.021935886575,True
Fe2+,0.78,6.5,0.7826394900448572,6.738124211166856,-6441.8851026993,True
Fe2+,0.78,7.0,0.7907291086904668,6.264369017581519,-6461.957064482785,True
Fe2+,0.78,7.5,0.792619749740974,6.153446443424368,-6466.6481230573045,True
Fe2+,0.78,8.0,0.7882222398351431,6.4113279038519995,-6455.737021478957,True
Fe2+,0.89,6.5,0.8042453665969737,4.547671111315436,-6495.493603600411,True
Fe2+,0.89,7.0,0.8117243105976609,4.106253892669663,-6514.050359454916,True
Fe2+,0.89,7.5,0.813470016846482,4.003043679771402,-6518.381805799491,True
Fe2+,0.89,8.0,0.8094083241199757,4.243077147654281,-6508.303933806484,True
Fe2+,1.0,6.5,0.8219443011861784,2.5790447752853773,-6539.408200103146,True
Fe2+,1.0,7.0,0.8288909114549474,2.1663678911029365,-6556.644129502016,True
Fe2+,1.0,7.5,0.8305106826472122,2.0699863942501042,-6560.663105784262,True
Fe2+,1.0,8.0,0.826741019323045,2.294202016530911,-6551.309817144339,True
