ion,conc,pH,T,L*,theta*,MI,G_S
H+,1e-05,5.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,5.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,5.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,5.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,5.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,5.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,5.666666666666667,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,5.666666666666667,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,5.666666666666667,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,6.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,6.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,6.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,6.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,6.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,6.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,6.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,6.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,6.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,7.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,7.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,7.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,7.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,7.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,7.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,7.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,7.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,7.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,1e-05,8.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,1e-05,8.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,1e-05,8.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
